userid,PageJumpC,MarkerC,bookmarkC, MemoC,Readpages
ds101,65,0,0,0,1071
ds102,0,0,0,0,6
ds103,1,2,1,0,297
ds104,2,1,1,1,49
ds105,2,0,0,0,460
ds106,2,0,0,0,180
ds107,0,0,0,0,500
ds108,0,0,0,0,1187
ds109,4,0,0,0,279
ds110,2,0,0,0,767
ds111,6,1,0,0,991
ds112,0,1,0,1,231
ds113,15,2,1,0,1272
ds114,8,0,0,0,683
ds115,1,0,0,0,12
ds116,6,0,0,0,1264
ds117,1,0,0,0,500
ds118,0,0,0,0,164
ds119,0,0,0,0,8
ds120,9,0,0,0,664
ds121,15,0,0,0,349
ds122,0,0,0,0,67
ds123,5,2,1,5,98
ds124,5,0,0,0,369
ds125,4,0,0,0,374
ds126,0,0,0,0,138
ds127,10,2,2,3,271
ds128,0,0,0,0,45
ds129,7,0,0,0,246
ds130,0,0,0,0,1382
ds131,1,0,0,0,214
ds132,0,0,0,0,64
ds133,0,0,0,0,144
ds134,1,0,0,1,583
ds135,0,0,0,0,87
ds136,2,0,0,0,225
ds137,0,0,0,0,12
ds138,1,0,0,0,632
ds139,7,0,0,0,1984
ds140,1,0,0,0,569
ds141,1,0,0,0,527
ds142,0,0,2,0,281
ds143,0,0,0,0,83
ds144,1,0,0,0,361
ds145,2,0,0,0,98
ds146,0,0,0,0,155
ds147,11,0,0,0,282
ds148,1,0,0,0,76
ds149,1,0,0,0,774
ds150,0,0,0,0,83
ds151,0,0,0,0,83
ds152,9,0,0,0,188
ds153,0,2,0,1,267
